"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"ATG9B",1.28178885111005e-12,1.11547481215923,0.276,0.172,2.53832646185322e-08,0.104
"DGKQ",1.37615239974198e-12,1.20978455334295,0.351,0.242,2.72519459720903e-08,0.109
"XIRP1",1.41900540978757e-12,0.987248603129606,0.277,0.175,2.81005641300232e-08,0.102
"C13orf46",1.42163464347105e-12,0.66747085725517,0.431,0.313,2.81526308446572e-08,0.118
"MXD4",1.48929100220003e-12,0.713225572556075,0.287,0.181,2.94924297165671e-08,0.106
"PPFIA3",1.57549774976027e-12,0.573191077414677,0.613,0.499,3.11995819385026e-08,0.114
"LINGO4",1.68013025092211e-12,0.624181025482406,0.249,0.149,3.32716193590106e-08,0.1
"GALK1",1.8687855778557e-12,0.900646501813471,0.27,0.167,3.70075607982764e-08,0.103
"LAT2",1.94087130839527e-12,0.674225163417465,0.667,0.562,3.84350745201516e-08,0.105
"SRPX2",1.97625676988529e-12,0.650029482711744,0.778,0.673,3.91358128140384e-08,0.105
"SH3BP5L",1.97645340714583e-12,0.606462142637415,0.445,0.325,3.91397068217089e-08,0.12
"EFNA2",1.98706813132487e-12,1.12713981028166,0.227,0.133,3.93499102046264e-08,0.094
"C3orf18",2.1080490864925e-12,0.631170391457286,0.332,0.216,4.17456960598109e-08,0.116
"ZBTB47",2.15224364266855e-12,0.533723174236835,0.304,0.197,4.26208808557652e-08,0.107
"ESPNL",2.24424227271297e-12,0.97754554666088,0.479,0.362,4.44427297265349e-08,0.117
"MAP3K11",2.33935679538457e-12,0.924686732970647,0.397,0.281,4.63262826190007e-08,0.116
"ZBTB48",2.47291951464321e-12,0.712173321368116,0.303,0.193,4.89712251484796e-08,0.11
"MOB3C",2.48127214523914e-12,1.28886388562663,0.287,0.181,4.91366322921708e-08,0.106
"CORO1A",2.5046676430834e-12,1.3705498551274,0.147,0.073,4.95999333359806e-08,0.074
"PSD",2.71797206586129e-12,0.88051810177632,0.295,0.191,5.38240008202511e-08,0.104
"C1orf210",2.75202119631488e-12,1.0476212774509,0.168,0.088,5.44982757506236e-08,0.08
"SLC6A19",2.78373157781384e-12,0.561671103724667,0.397,0.28,5.51262364354476e-08,0.117
"BMP1",2.92820237658998e-12,0.768034026331283,0.62,0.52,5.79871916636114e-08,0.1
"SSC4D",3.21468990798603e-12,0.838703965229482,0.315,0.204,6.36605042478474e-08,0.111
"AGAP2",3.29367758116709e-12,0.818759411253063,0.313,0.204,6.52246971398518e-08,0.109
"DOK4",3.30681967856522e-12,0.922754881061167,0.357,0.241,6.54849500946271e-08,0.116
"ARAP1",3.3661250405345e-12,0.54678549052209,0.728,0.64,6.66593741777047e-08,0.088
"CYP26B1",3.43243978295945e-12,0.603387361107696,0.315,0.207,6.79726050219461e-08,0.108
"PMEPA1",3.54624856948627e-12,0.696672941288895,0.698,0.599,7.02263604215365e-08,0.099
"RECQL5",3.73925385388007e-12,0.746902409844577,0.658,0.566,7.4048444068387e-08,0.0920000000000001
"RBBP8NL",3.87140893147901e-12,0.643101152717033,0.266,0.167,7.66655110700789e-08,0.099
"DOK7",4.07499084879874e-12,0.636928223197559,0.429,0.315,8.06970437787615e-08,0.114
"MAPK7",4.2559778443945e-12,0.626071574884552,0.164,0.086,8.42811292525443e-08,0.078
"KHK",4.33285587624491e-12,0.757513177025138,0.368,0.25,8.58035449172779e-08,0.118
"TMEM151B",4.38762922341673e-12,0.617766922304237,0.187,0.103,8.68882215113215e-08,0.084
"TONSL",4.4685597009072e-12,0.962036861234149,0.274,0.175,8.84908877570653e-08,0.099
"CCDC22",4.74781352017684e-12,0.71924910167668,0.415,0.299,9.40209511400619e-08,0.116
"WNT4",4.94617068616668e-12,0.542449422265773,0.469,0.36,9.79490180981588e-08,0.109
"ALDH3B1",4.98653823345867e-12,0.753009565212848,0.372,0.253,9.8748416637182e-08,0.119
"INPP5D",5.29321219653615e-12,0.516034763451564,0.948,0.937,1.04821481128005e-07,0.0109999999999999
"SYTL1",5.33629047012094e-12,0.843779230041005,0.336,0.227,1.05674560179805e-07,0.109
"EFNB1",5.74083103866027e-12,1.40722367292554,0.29,0.186,1.13685677058589e-07,0.104
"SLC39A13",6.01527004465225e-12,0.904288303285756,0.232,0.139,1.19120392694248e-07,0.093
"MYO1C",6.01598098046878e-12,0.509732339605538,0.47,0.353,1.19134471356223e-07,0.117
"CHMP6",6.45963289485307e-12,0.872930050619539,0.411,0.29,1.27920110216775e-07,0.121
"PLCB3",6.62856072980796e-12,0.916179165888701,0.312,0.206,1.31265388132387e-07,0.106
"CFC1",6.67099988395173e-12,0.744775773729948,0.196,0.111,1.32105810701896e-07,0.085
"ZNF500",6.68389169707747e-12,0.845941986524049,0.5,0.376,1.32361107277225e-07,0.124
"SLC10A3",6.82404553442906e-12,2.12675108447177,0.135,0.066,1.35136573718299e-07,0.069
"RFX5",6.82738371260888e-12,0.839026534111741,0.315,0.208,1.35202679660794e-07,0.107
"GHDC",6.85940539574675e-12,0.972949430131108,0.255,0.156,1.35836805051973e-07,0.099
